Date,measurement,measurement_units,code_number,time_series_code,Code,Description,Frequency,Start Date,End Date,Type Description,number_of_ts,timeseries_position,category,sub_category
1993,12804,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1994,16848,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1995,20354,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1996,22075,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1997,24183,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1998,25421,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1999,32673,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2000,33619,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2001,36139,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2002,39487,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2003,44671,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2004,48831,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2005,54237,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2006,63575,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2007,68196,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2008,72697,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2009,77679,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2010,82501,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2011,101394,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2012,112169,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2013,119057,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2014,131334,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
2015,137991,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
