,Gold and Foreign Exchange Position ,,,,,,,,,,,,
,,,,,,,,,,,,,
,(TIME SERIES),,,,,,,,,,,,
,This time series represents the Gold and Foreign Exchange Position over a period of time published by the South African Reserve Bank and updated at the end of each month.,,,,,,,,,,,,
,Month-,Gold,Foreign,Gross,Foreign ,Gold,Foreign,Gross,Foreign ,Other,Forward,International,Exchange
,end,Reserves 1,Exchange,Reserves,Loans,Reserves 2,Exchange,Reserves,Loans,,Position,Liquidity,Rate
,,,Reserves,,Received,,Reserves,,Received,,,Position/,
,,,,,,,,,,,,Net Reserves,
,,R'Million,R'Million,R'Million,R'Million,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,Rand\USD
,,-1,-2,(1+2),-3,-4,-5,(4+5),-6,-7,-8,(4+5+6+7+8),
,1997-12-31,5 102.7 ,23 351.4 ,28 454.2 ,9 809.1 ,,,,,,(20 191.1),(16 297.0),4.8675
,,,,,,,,,,,,,
,1998-01-31, 5 505 , 22 347 , 27 852 , (9 384), -   , 4 533 , 4 533 , (1 904), 1 155 , (20 272), (16 487),4.9295
,1998-02-28, 5 279 , 25 649 , 30 928 , (9 125), -   , 5 188 , 5 188 , (1 846), 1 141 , (18 434), (13 951),4.944
,1998-03-31, 5 369 , 27 428 , 32 797 , (9 223), -   , 5 447 , 5 447 , (1 832), 1 115 , (17 564), (12 833),5.035
,1998-04-30, 5 484 , 27 232 , 32 716 , (9 185), -   , 5 391 , 5 391 , (1 818), 1 155 , (17 482), (12 754),5.0515
,1998-05-31, 5 570 , 27 284 , 32 854 , (17 086), -   , 5 288 , 5 288 , (3 312), 1 117 , (20 971), (17 878),5.1595
,1998-06-30, 6 337 , 27 045 , 33 382 , (17 021), -   , 4 606 , 4 606 , (2 899), 1 129 , (25 288), (22 452),5.8715
,1998-07-31, 6 536 , 26 110 , 32 646 , (18 458), -   , 4 255 , 4 255 , (3 008), 1 077 , (25 240), (22 917),6.1365
,1998-08-31, 6 693 , 25 987 , 32 680 , (18 377), -   , 4 021 , 4 021 , (2 843), 1 039 , (25 329), (23 112),6.4635
,1998-09-30, 6 160 , 24 337 , 30 497 , (18 386), -   , 4 151 , 4 151 , (3 136), 1 125 , (25 349), (23 209),5.8635
