,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,
,,,,,
,,,,,
,SABOR (%), Vol (Rmill) ,,FX (%) ,Vol (Rmill)
"06-Jan-09,Tue",11.287," R 82,299 ",,12.454," R 7,999 "
"07-Jan-09,Wed",11.244," R 84,209 ",,11.876," R 7,998 "
"08-Jan-09,Thu",11.249," R 85,382 ",,11.829," R 9,046 "
"09-Jan-09,Fri",11.252," R 81,146 ",,11.813," R 10,805 "
"12-Jan-09,Mon",11.256," R 83,216 ",,11.726," R 12,932 "
"13-Jan-09,Tue",11.256," R 84,041 ",,11.896," R 14,816 "
"14-Jan-09,Wed",11.253," R 79,932 ",,11.908," R 14,704 "
"15-Jan-09,Thu",11.263," R 79,186 ",,12.029," R 15,725 "
"16-Jan-09,Fri",11.285," R 82,308 ",,12.309," R 10,804 "
"19-Jan-09,Mon",11.288," R 85,110 ",,,
"20-Jan-09,Tue",11.285," R 85,142 ",,12.436," R 10,510 "
"21-Jan-09,Wed",11.267," R 83,204 ",,12.123," R 7,099 "
"22-Jan-09,Thu",11.269," R 80,709 ",,12.062," R 12,583 "
"23-Jan-09,Fri",11.246," R 78,552 ",,11.602," R 13,327 "
"26-Jan-09,Mon",11.252," R 77,680 ",,11.866," R 8,056 "
"27-Jan-09,Tue",11.245," R 76,699 ",,11.747," R 10,381 "
"28-Jan-09,Wed",11.240," R 75,483 ",,11.800," R 14,323 "
"29-Jan-09,Thu",11.246," R 78,694 ",,12.079," R 3,882 "
"30-Jan-09,Fri",11.226," R 81,559 ",,11.882," R 8,944 "
"02-Feb-09,Mon",11.239," R 77,727 ",,11.810," R 7,773 "
"03-Feb-09,Tue",11.265," R 73,717 ",,12.034," R 10,533 "
"04-Feb-09,Wed",11.268," R 71,649 ",,11.947," R 8,288 "
"05-Feb-09,Thu",11.249," R 76,416 ",,11.726," R 7,931 "
"06-Feb-09,Fri",10.552," R 81,271 ",,10.968," R 7,744 "
"09-Feb-09,Mon",10.533," R 72,281 ",,10.864," R 10,305 "
"10-Feb-09,Tue",10.375," R 73,644 ",,10.838," R 6,500 "
"11-Feb-09,Wed",10.359," R 75,104 ",,10.727," R 13,725 "
"12-Feb-09,Thu",10.253," R 73,924 ",,10.497," R 11,502 "
"13-Feb-09,Fri",10.251," R 71,343 ",,10.448," R 11,405 "
"16-Feb-09,Mon",10.225," R 71,617 ",,10.060, R 350 
"17-Feb-09,Tue",10.267," R 74,856 ",,10.596," R 9,146 "
"18-Feb-09,Wed",10.258," R 72,239 ",,10.585," R 10,558 "
"19-Feb-09,Thu",10.252," R 69,006 ",,10.600," R 5,235 "
"20-Feb-09,Fri",10.262," R 73,257 ",,10.687," R 11,528 "
"23-Feb-09,Mon",10.281," R 72,917 ",,10.758," R 13,791 "
"24-Feb-09,Tue",10.250," R 69,588 ",,10.735," R 15,216 "
"25-Feb-09,Wed",10.223," R 71,609 ",,10.514," R 9,386 "
"26-Feb-09,Thu",10.253," R 73,147 ",,10.722," R 5,312 "
"27-Feb-09,Fri",10.247," R 63,559 ",,10.903," R 5,846 "
"02-Mar-09,Mon",10.247," R 68,750 ",,10.578," R 8,270 "
"03-Mar-09,Tue",10.230," R 77,070 ",,10.350," R 8,427 "
"04-Mar-09,Wed",10.260," R 78,342 ",,10.427," R 7,261 "
"05-Mar-09,Thu",10.256," R 73,287 ",,10.617," R 12,377 "
"06-Mar-09,Fri",10.254," R 73,621 ",,10.717," R 11,992 "
"09-Mar-09,Mon",10.268," R 75,389 ",,10.778," R 6,770 "
"10-Mar-09,Tue",10.258," R 75,173 ",,10.840," R 8,539 "
"11-Mar-09,Wed",10.253," R 79,589 ",,10.644," R 5,060 "
"12-Mar-09,Thu",10.252," R 77,670 ",,10.670," R 6,127 "
"13-Mar-09,Fri",10.260," R 74,900 ",,10.809," R 4,798 "
"16-Mar-09,Mon",10.235," R 71,850 ",,10.692," R 2,599 "
"17-Mar-09,Tue",10.261," R 73,955 ",,11.066," R 6,331 "
"18-Mar-09,Wed",10.254," R 73,220 ",,10.783," R 8,101 "
"19-Mar-09,Thu",10.248," R 70,791 ",,10.583," R 6,679 "
"20-Mar-09,Fri",10.232," R 75,929 ",,10.603," R 8,270 "
"23-Mar-09,Mon",10.234," R 75,151 ",,10.513," R 4,616 "
"24-Mar-09,Tue",10.237," R 72,394 ",,10.537," R 7,490 "
"25-Mar-09,Wed",9.325," R 74,641 ",,10.208," R 11,866 "
"26-Mar-09,Thu",9.271," R 78,410 ",,9.697," R 9,764 "
"27-Mar-09,Fri",9.268," R 77,090 ",,10.014," R 9,719 "
"30-Mar-09,Mon",9.268," R 74,981 ",,10.147," R 11,902 "
"31-Mar-09,Tue",9.315," R 89,982 ",,10.405," R 10,292 "
"01-Apr-09,Wed",9.236," R 80,798 ",,9.694," R 9,176 "
"02-Apr-09,Thu",9.242," R 77,441 ",,9.570," R 8,897 "
"03-Apr-09,Fri",9.245," R 80,866 ",,9.507," R 17,139 "
"06-Apr-09,Mon",9.253," R 83,346 ",,9.478," R 14,448 "
"07-Apr-09,Tue",9.240," R 86,385 ",,9.227," R 12,090 "
"08-Apr-09,Wed",9.248," R 84,081 ",,9.352," R 11,823 "
"09-Apr-09,Thu",9.244," R 84,467 ",,9.363," R 17,489 "
"10-Apr-09,Fri",9.244," R 84,467 ",,9.363," R 17,489 "
"13-Apr-09,Mon",9.244," R 84,467 ",,9.363," R 17,489 "
"14-Apr-09,Tue",9.258," R 82,636 ",,9.458," R 6,586 "
"15-Apr-09,Wed",9.248," R 86,150 ",,9.351," R 4,067 "
"16-Apr-09,Thu",9.247," R 89,191 ",,9.371," R 4,849 "
"17-Apr-09,Fri",9.255," R 91,626 ",,9.452," R 2,589 "
"20-Apr-09,Mon",9.261," R 85,684 ",,9.621," R 5,701 "
"21-Apr-09,Tue",9.256," R 87,741 ",,9.491," R 8,228 "
"22-Apr-09,Wed",9.256," R 87,741 ",,9.491," R 8,228 "
"23-Apr-09,Thu",9.247," R 86,296 ",,9.487," R 7,426 "
"24-Apr-09,Fri",9.275," R 86,665 ",,9.547," R 7,931 "
"27-Apr-09,Mon",9.275," R 86,665 ",,9.547," R 7,931 "
"28-Apr-09,Tue",9.254," R 83,002 ",,9.611," R 2,449 "
"29-Apr-09,Wed",9.315," R 84,019 ",,10.331," R 4,972 "
"30-Apr-09,Thu",9.263," R 87,295 ",,10.540," R 7,862 "
"01-May-09,Fri",9.263," R 87,295 ",,10.540," R 7,862 "
"04-May-09,Mon",8.334," R 85,270 ",,8.847," R 6,448 "
"05-May-09,Tue",8.299," R 92,100 ",,8.821," R 4,593 "
"06-May-09,Wed",8.292," R 92,596 ",,8.847," R 4,292 "
"07-May-09,Thu",8.288," R 102,720 ",,8.735," R 8,928 "
"08-May-09,Fri",8.279," R 102,940 ",,8.625," R 13,095 "
"11-May-09,Mon",8.318," R 97,980 ",,8.513," R 5,460 "
"12-May-09,Tue",8.282," R 100,556 ",,8.649," R 2,398 "
"13-May-09,Wed",8.276," R 100,161 ",,8.674," R 4,316 "
"14-May-09,Thu",8.282," R 98,083 ",,8.533," R 7,539 "
"15-May-09,Fri",8.259," R 95,824 ",,8.478," R 11,812 "
"18-May-09,Mon",8.263," R 99,705 ",,8.488," R 6,291 "
"19-May-09,Tue",8.270," R 98,811 ",,8.501," R 5,953 "
"20-May-09,Wed",8.259," R 102,051 ",,8.502," R 9,219 "
"21-May-09,Thu",8.261," R 99,296 ",,8.497," R 13,907 "
"22-May-09,Fri",8.270," R 95,870 ",,8.599," R 3,803 "
"25-May-09,Mon",8.427," R 94,435 ",,,
"26-May-09,Tue",8.284," R 89,444 ",,8.459," R 4,895 "
"27-May-09,Wed",8.269," R 94,936 ",,8.450," R 4,640 "
"28-May-09,Thu",8.248," R 93,239 ",,8.326," R 8,826 "
"29-May-09,Fri",7.344," R 95,996 ",,7.980," R 5,107 "
"01-Jun-09,Mon",7.247," R 87,002 ",,7.826," R 6,287 "
"02-Jun-09,Tue",7.254," R 98,191 ",,7.898," R 7,280 "
"03-Jun-09,Wed",7.242," R 88,151 ",,7.582," R 5,800 "
"04-Jun-09,Thu",7.237," R 85,766 ",,7.642," R 5,366 "
"05-Jun-09,Fri",7.274," R 86,459 ",,8.032," R 8,624 "
"08-Jun-09,Mon",7.252," R 85,995 ",,7.705," R 6,591 "
"09-Jun-09,Tue",7.250," R 86,708 ",,7.697," R 10,715 "
"10-Jun-09,Wed",7.241," R 91,818 ",,7.468," R 5,313 "
"11-Jun-09,Thu",7.260," R 91,553 ",,7.660," R 5,170 "
"12-Jun-09,Fri",7.259," R 94,077 ",,7.544," R 5,233 "
"15-Jun-09,Mon",7.263," R 95,704 ",,7.574," R 6,003 "
"16-Jun-09,Tue",7.263," R 95,704 ",,7.574," R 6,003 "
"17-Jun-09,Wed",7.247," R 96,123 ",,7.524," R 3,914 "
"18-Jun-09,Thu",7.257," R 95,547 ",,7.606," R 5,358 "
"19-Jun-09,Fri",7.257," R 93,844 ",,7.601," R 4,813 "
"22-Jun-09,Mon",7.249," R 100,577 ",,7.607," R 3,276 "
"23-Jun-09,Tue",7.262," R 95,421 ",,7.696," R 1,892 "
"24-Jun-09,Wed",7.266," R 94,726 ",,7.693," R 1,773 "
"25-Jun-09,Thu",7.256," R 84,411 ",,7.735," R 4,430 "
"26-Jun-09,Fri",7.263," R 86,847 ",,7.750," R 4,106 "
"29-Jun-09,Mon",7.306," R 89,055 ",,8.854," R 3,824 "
"30-Jun-09,Tue",7.254," R 79,695 ",,8.476," R 10,993 "
"01-Jul-09,Wed",7.216," R 91,693 ",,7.690," R 6,985 "
"02-Jul-09,Thu",7.227," R 90,109 ",,7.545," R 7,437 "
"03-Jul-09,Fri",7.234," R 87,161 ",,7.499," R 4,436 "
"06-Jul-09,Mon",7.239," R 88,673 ",,7.486," R 4,653 "
"07-Jul-09,Tue",7.242," R 89,650 ",,7.494," R 6,279 "
"08-Jul-09,Wed",7.210," R 83,511 ",,7.586," R 7,746 "
"09-Jul-09,Thu",7.254," R 85,580 ",,7.722," R 6,197 "
"10-Jul-09,Fri",7.251," R 82,637 ",,7.692," R 5,705 "
"13-Jul-09,Mon",7.259," R 78,648 ",,7.600," R 6,356 "
"14-Jul-09,Tue",7.290," R 83,062 ",,7.590," R 7,127 "
"15-Jul-09,Wed",7.257," R 82,556 ",,7.722," R 7,202 "
"16-Jul-09,Thu",7.264," R 83,011 ",,7.844," R 4,644 "
"17-Jul-09,Fri",7.263," R 81,300 ",,7.900," R 9,816 "
"20-Jul-09,Mon",7.259," R 79,698 ",,8.011," R 4,100 "
"21-Jul-09,Tue",7.245," R 81,095 ",,7.812," R 4,152 "
"22-Jul-09,Wed",7.235," R 76,739 ",,7.798," R 1,456 "
"23-Jul-09,Thu",7.231," R 81,127 ",,7.590," R 4,693 "
"24-Jul-09,Fri",7.236," R 83,274 ",,7.522," R 3,779 "
"27-Jul-09,Mon",7.239," R 85,553 ",,7.457," R 6,586 "
"28-Jul-09,Tue",7.243," R 82,532 ",,7.500," R 3,452 "
"29-Jul-09,Wed",7.236," R 81,664 ",,7.581," R 3,884 "
"30-Jul-09,Thu",7.208," R 78,266 ",,7.578," R 3,772 "
"31-Jul-09,Fri",7.210," R 72,999 ",,7.794," R 5,228 "
"03-Aug-09,Mon",7.203," R 75,536 ",,7.488," R 3,095 "
"04-Aug-09,Tue",7.253," R 76,693 ",,7.422," R 3,727 "
"05-Aug-09,Wed",7.239," R 76,998 ",,7.435," R 5,523 "
"06-Aug-09,Thu",7.249," R 83,827 ",,7.471," R 3,466 "
"07-Aug-09,Fri",7.255," R 84,818 ",,7.576," R 4,741 "
"10-Aug-09,Mon",7.255," R 84,818 ",,7.576," R 4,741 "
"11-Aug-09,Tue",7.163," R 84,014 ",,7.602," R 5,986 "
"12-Aug-09,Wed",7.256," R 83,307 ",,7.462," R 4,113 "
"13-Aug-09,Thu",7.275," R 82,183 ",,7.646," R 2,670 "
"14-Aug-09,Fri",6.902," R 84,025 ",,7.530," R 6,073 "
"17-Aug-09,Mon",6.838," R 79,651 ",,7.115," R 2,152 "
"18-Aug-09,Tue",6.816," R 91,388 ",,7.098," R 1,439 "
"19-Aug-09,Wed",6.803," R 86,888 ",,7.460," R 1,659 "
"20-Aug-09,Thu",6.735," R 81,075 ",,7.016," R 1,479 "
"21-Aug-09,Fri",6.781," R 77,980 ",,7.537," R 1,179 "
"24-Aug-09,Mon",6.730," R 81,571 ",,7.496," R 4,259 "
"25-Aug-09,Tue",6.784," R 82,683 ",,7.485," R 2,114 "
"26-Aug-09,Wed",6.758," R 84,100 ",,6.893," R 2,417 "
"27-Aug-09,Thu",6.758," R 85,970 ",,7.160," R 2,508 "
"28-Aug-09,Fri",6.747," R 85,115 ",,7.141," R 5,481 "
"31-Aug-09,Mon",6.755," R 82,956 ",,6.850," R 2,459 "
"01-Sep-09,Tue",6.765," R 84,748 ",,6.966," R 1,080 "
"02-Sep-09,Wed",6.767," R 84,796 ",,7.000," R 3,467 "
"03-Sep-09,Thu",6.763," R 86,149 ",,7.000," R 3,058 "
"04-Sep-09,Fri",6.748," R 93,613 ",,7.000," R 3,392 "
"07-Sep-09,Mon",6.743," R 98,712 ",,,
"08-Sep-09,Tue",6.769," R 84,544 ",,6.900," R 4,721 "
"09-Sep-09,Wed",6.765," R 86,562 ",,6.934," R 5,986 "
"10-Sep-09,Thu",6.771," R 83,250 ",,7.147," R 3,741 "
"11-Sep-09,Fri",6.772," R 84,510 ",,7.127," R 5,757 "
"14-Sep-09,Mon",6.766," R 83,487 ",,7.000," R 3,720 "
"15-Sep-09,Tue",6.786," R 86,203 ",,7.343," R 4,260 "
"16-Sep-09,Wed",6.781," R 86,412 ",,7.222," R 5,173 "
"17-Sep-09,Thu",6.781," R 88,506 ",,7.240," R 5,009 "
"18-Sep-09,Fri",6.751," R 93,625 ",,6.943," R 3,119 "
"21-Sep-09,Mon",6.764," R 82,626 ",,7.039," R 3,220 "
"22-Sep-09,Tue",6.768," R 84,603 ",,7.050," R 3,044 "
"23-Sep-09,Wed",6.760," R 86,217 ",,6.983," R 4,511 "
"24-Sep-09,Thu",6.760," R 86,217 ",,6.983," R 4,511 "
"25-Sep-09,Fri",6.761," R 87,677 ",,7.000," R 2,208 "
"28-Sep-09,Mon",6.772," R 82,177 ",,7.183," R 3,977 "
"29-Sep-09,Tue",6.763," R 85,757 ",,7.174," R 3,967 "
"30-Sep-09,Wed",6.725," R 82,938 ",,7.096," R 3,982 "
"01-Oct-09,Thu",6.718," R 89,697 ",,6.912," R 6,352 "
"02-Oct-09,Fri",6.731," R 91,842 ",,6.865," R 4,120 "
"05-Oct-09,Mon",6.748," R 91,083 ",,6.957," R 4,454 "
"06-Oct-09,Tue",6.750," R 92,428 ",,6.950," R 2,225 "
"07-Oct-09,Wed",6.762," R 85,831 ",,6.980," R 4,510 "
"08-Oct-09,Thu",6.761," R 82,930 ",,6.949," R 3,130 "
"09-Oct-09,Fri",6.761," R 80,327 ",,6.894," R 5,223 "
"12-Oct-09,Mon",6.756," R 83,487 ",,6.844, R 466 
"13-Oct-09,Tue",6.766," R 81,682 ",,6.967," R 3,274 "
"14-Oct-09,Wed",6.773," R 80,633 ",,7.129," R 5,029 "
"15-Oct-09,Thu",6.762," R 80,683 ",,6.927," R 5,994 "
"16-Oct-09,Fri",6.767," R 80,037 ",,6.950," R 4,007 "
"19-Oct-09,Mon",6.766," R 80,153 ",,7.000," R 2,170 "
"20-Oct-09,Tue",6.757," R 81,946 ",,6.944," R 2,863 "
"21-Oct-09,Wed",6.766," R 86,758 ",,6.953," R 2,368 "
"22-Oct-09,Thu",6.765," R 83,504 ",,6.951, R 476 
"23-Oct-09,Fri",6.766," R 83,533 ",,6.986," R 1,591 "
"26-Oct-09,Mon",6.765," R 83,186 ",,7.020," R 2,699 "
"27-Oct-09,Tue",6.785," R 83,890 ",,7.300," R 2,686 "
"28-Oct-09,Wed",6.762," R 86,306 ",,6.896," R 6,428 "
"29-Oct-09,Thu",6.724," R 85,435 ",,7.032," R 4,918 "
"30-Oct-09,Fri",6.758," R 82,030 ",,6.938," R 5,919 "
"02-Nov-09,Mon",6.752," R 88,390 ",,6.994," R 5,197 "
"03-Nov-09,Tue",6.754," R 85,568 ",,6.900," R 4,203 "
"04-Nov-09,Wed",6.761," R 87,517 ",,7.043," R 7,001 "
"05-Nov-09,Thu",6.761," R 87,633 ",,7.071," R 5,449 "
"06-Nov-09,Fri",6.759," R 87,515 ",,7.054," R 2,427 "
"09-Nov-09,Mon",6.759," R 89,601 ",,7.068," R 4,214 "
"10-Nov-09,Tue",6.755," R 89,743 ",,7.020," R 2,091 "
"11-Nov-09,Wed",6.752," R 90,564 ",,,
"12-Nov-09,Thu",6.778," R 83,659 ",,7.159," R 2,791 "
"13-Nov-09,Fri",6.765," R 83,145 ",,6.971," R 5,040 "
"16-Nov-09,Mon",6.765," R 87,901 ",,6.948," R 6,046 "
"17-Nov-09,Tue",6.768," R 85,496 ",,6.989," R 7,019 "
"18-Nov-09,Wed",6.765," R 84,937 ",,6.997," R 5,383 "
"19-Nov-09,Thu",6.777," R 86,785 ",,6.958," R 6,415 "
"20-Nov-09,Fri",6.775," R 87,814 ",,6.954," R 4,509 "
"23-Nov-09,Mon",6.775," R 86,639 ",,6.920," R 7,788 "
"24-Nov-09,Tue",6.774," R 85,489 ",,6.912," R 8,779 "
"25-Nov-09,Wed",6.783," R 87,455 ",,7.002," R 12,207 "
"26-Nov-09,Thu",6.782," R 84,939 ",,,
"27-Nov-09,Fri",6.787," R 84,332 ",,7.044," R 5,178 "
"30-Nov-09,Mon",6.791," R 78,385 ",,7.267," R 3,462 "
"01-Dec-09,Tue",6.787," R 80,745 ",,7.150," R 5,805 "
"02-Dec-09,Wed",6.792," R 82,071 ",,7.108," R 6,708 "
"03-Dec-09,Thu",6.786," R 80,216 ",,7.054," R 8,377 "
"04-Dec-09,Fri",6.793," R 82,068 ",,7.129," R 8,576 "
"07-Dec-09,Mon",6.805," R 80,731 ",,7.459," R 5,613 "
"08-Dec-09,Tue",6.795," R 82,746 ",,7.250," R 3,420 "
"09-Dec-09,Wed",6.785," R 81,251 ",,7.065," R 3,345 "
"10-Dec-09,Thu",6.790," R 80,319 ",,7.237," R 2,778 "
"11-Dec-09,Fri",6.785," R 81,491 ",,7.100," R 1,862 "
"14-Dec-09,Mon",6.791," R 87,615 ",,7.200," R 2,954 "
"15-Dec-09,Tue",6.791," R 85,754 ",,7.300," R 1,365 "
"16-Dec-09,Wed",6.791," R 85,754 ",,7.300," R 1,365 "
"17-Dec-09,Thu",6.807," R 88,059 ",,7.500," R 1,350 "
"18-Dec-09,Fri",6.807," R 87,302 ",,7.693," R 3,985 "
"21-Dec-09,Mon",6.786," R 86,684 ",,7.150," R 3,173 "
"22-Dec-09,Tue",6.819," R 84,508 ",,7.792," R 7,839 "
"23-Dec-09,Wed",6.775," R 81,414 ",,6.931," R 5,935 "
"24-Dec-09,Thu",6.792," R 79,807 ",,7.016," R 7,356 "
"25-Dec-09,Fri",6.792," R 79,807 ",,7.016," R 7,356 "
"28-Dec-09,Mon",6.801," R 85,028 ",,7.339," R 4,900 "
"29-Dec-09,Tue",6.787," R 84,286 ",,7.049," R 7,639 "
"30-Dec-09,Wed",6.817," R 84,803 ",,7.274," R 4,836 "
"31-Dec-09,Thu",6.783," R 79,836 ",,7.599," R 5,995 "
"01-Jan-10,Fri",6.783," R 79,836 ",,7.599," R 5,995 "
"04-Jan-10,Mon",6.792," R 83,619 ",,7.282," R 6,020 "
"05-Jan-10,Tue",6.790," R 87,145 ",,7.275," R 3,804 "
"06-Jan-10,Wed",6.789," R 83,399 ",,7.250," R 2,910 "
"07-Jan-10,Thu",6.789," R 85,203 ",,7.450," R 5,148 "
"08-Jan-10,Fri",6.791," R 82,495 ",,7.238," R 6,620 "
"11-Jan-10,Mon",6.783," R 84,208 ",,7.225," R 6,512 "
"12-Jan-10,Tue",6.793," R 81,330 ",,7.301," R 3,518 "
"13-Jan-10,Wed",6.788," R 77,156 ",,7.239," R 5,515 "
"14-Jan-10,Thu",6.772," R 79,264 ",,7.146," R 4,601 "
"15-Jan-10,Fri",6.784," R 80,863 ",,7.067," R 5,319 "
"18-Jan-10,Mon",6.783," R 80,252 ",,,
"19-Jan-10,Tue",6.772," R 78,076 ",,6.950," R 3,890 "
"20-Jan-10,Wed",6.776," R 74,088 ",,7.100," R 3,890 "
"21-Jan-10,Thu",6.770," R 77,796 ",,7.050," R 3,561 "
"22-Jan-10,Fri",6.771," R 75,113 ",,6.950," R 4,105 "
"25-Jan-10,Mon",6.785," R 77,076 ",,7.250," R 2,437 "
"26-Jan-10,Tue",6.784," R 75,229 ",,7.288," R 1,891 "
"27-Jan-10,Wed",6.778," R 75,141 ",,7.300," R 1,888 "
"28-Jan-10,Thu",6.760," R 75,484 ",,7.250," R 1,443 "
"29-Jan-10,Fri",6.759," R 75,470 ",,7.438," R 3,972 "
"01-Feb-10,Mon",6.748," R 73,415 ",,7.409," R 4,300 "
"02-Feb-10,Tue",6.737," R 76,880 ",,7.408," R 4,549 "
"03-Feb-10,Wed",6.737," R 79,119 ",,7.319," R 3,719 "
"04-Feb-10,Thu",6.773," R 75,368 ",,7.150," R 2,868 "
"05-Feb-10,Fri",6.784," R 79,722 ",,7.365," R 3,306 "
"08-Feb-10,Mon",6.774," R 79,457 ",,7.199," R 3,174 "
"09-Feb-10,Tue",6.785," R 81,708 ",,7.361," R 5,350 "
"10-Feb-10,Wed",6.779," R 81,026 ",,7.248," R 4,924 "
"11-Feb-10,Thu",6.778," R 80,744 ",,7.251," R 5,118 "
"12-Feb-10,Fri",6.777," R 84,198 ",,7.152," R 4,252 "
"15-Feb-10,Mon",6.779," R 88,229 ",,,
"16-Feb-10,Tue",6.778," R 86,865 ",,7.150," R 3,838 "
"17-Feb-10,Wed",6.759," R 82,643 ",,6.950," R 5,646 "
"18-Feb-10,Thu",6.759," R 83,817 ",,6.950," R 7,702 "
"19-Feb-10,Fri",6.764," R 88,719 ",,6.870," R 9,174 "
"22-Feb-10,Mon",6.758," R 86,062 ",,6.844," R 5,482 "
"23-Feb-10,Tue",6.747," R 83,170 ",,6.732," R 3,558 "
"24-Feb-10,Wed",6.766," R 86,875 ",,6.798," R 5,286 "
"25-Feb-10,Thu",6.776," R 84,000 ",,7.157," R 4,494 "
"26-Feb-10,Fri",6.774," R 79,062 ",,7.500," R 3,784 "
"01-Mar-10,Mon",6.801," R 85,511 ",,7.400," R 2,501 "
"02-Mar-10,Tue",6.775," R 79,267 ",,7.204," R 6,538 "
"03-Mar-10,Wed",6.760," R 81,296 ",,6.956," R 4,543 "
"04-Mar-10,Thu",6.762," R 79,641 ",,7.010," R 3,971 "
"05-Mar-10,Fri",6.775," R 75,801 ",,6.988," R 7,295 "
"08-Mar-10,Mon",6.774," R 78,166 ",,7.012," R 5,244 "
"09-Mar-10,Tue",6.780," R 75,954 ",,7.216," R 3,249 "
"10-Mar-10,Wed",6.780," R 75,612 ",,7.220," R 1,185 "
"11-Mar-10,Thu",6.773," R 76,572 ",,7.100," R 2,169 "
"12-Mar-10,Fri",6.786," R 78,678 ",,7.162," R 2,889 "
"15-Mar-10,Mon",6.786," R 76,828 ",,7.117," R 3,580 "
"16-Mar-10,Tue",6.766," R 78,877 ",,7.127," R 4,633 "
"17-Mar-10,Wed",6.772," R 80,314 ",,7.127," R 3,344 "
"18-Mar-10,Thu",6.757," R 85,230 ",,7.053," R 5,394 "
"19-Mar-10,Fri",6.769," R 84,275 ",,7.101," R 7,905 "
"22-Mar-10,Mon",6.769," R 84,275 ",,7.101," R 7,905 "
"23-Mar-10,Tue",6.778," R 79,638 ",,7.047," R 10,246 "
"24-Mar-10,Wed",6.770," R 83,727 ",,7.037," R 10,006 "
"25-Mar-10,Thu",6.767," R 76,823 ",,7.085," R 4,838 "
"26-Mar-10,Fri",6.387," R 70,479 ",,6.982," R 4,839 "
"29-Mar-10,Mon",6.367," R 80,084 ",,6.900," R 3,847 "
"30-Mar-10,Tue",6.364," R 78,092 ",,6.900," R 1,688 "
"31-Mar-10,Wed",6.337," R 74,969 ",,7.000," R 3,873 "
"01-Apr-10,Thu",6.333," R 79,976 ",,6.850," R 4,766 "
"02-Apr-10,Fri",6.333," R 79,976 ",,6.850," R 4,766 "
"05-Apr-10,Mon",6.333," R 79,976 ",,6.850," R 4,766 "
"06-Apr-10,Tue",6.276," R 84,793 ",,6.814," R 2,823 "
"07-Apr-10,Wed",6.314," R 82,322 ",,6.392," R 2,379 "
"08-Apr-10,Thu",6.270," R 82,151 ",,6.400," R 2,784 "
"09-Apr-10,Fri",6.267," R 81,634 ",,6.446," R 4,154 "
"12-Apr-10,Mon",6.259," R 80,774 ",,6.421," R 1,747 "
"13-Apr-10,Tue",6.259," R 83,882 ",,6.320," R 1,611 "
"14-Apr-10,Wed",6.265," R 81,615 ",,6.339," R 5,181 "
"15-Apr-10,Thu",6.269," R 79,656 ",,6.502," R 5,049 "
"16-Apr-10,Fri",6.269," R 79,333 ",,6.437," R 5,971 "
"19-Apr-10,Mon",6.262," R 77,888 ",,6.482," R 6,491 "
"20-Apr-10,Tue",6.264," R 81,322 ",,6.443," R 4,273 "
"21-Apr-10,Wed",6.268," R 78,382 ",,6.397," R 2,386 "
"22-Apr-10,Thu",6.266," R 77,789 ",,6.402," R 3,134 "
"23-Apr-10,Fri",6.273," R 76,900 ",,6.480," R 3,363 "
"26-Apr-10,Mon",6.280," R 78,975 ",,6.500," R 2,288 "
"27-Apr-10,Tue",6.280," R 78,975 ",,6.500," R 2,288 "
"28-Apr-10,Wed",6.272," R 78,651 ",,6.470," R 2,945 "
"29-Apr-10,Thu",6.273," R 83,266 ",,6.467," R 4,414 "
"30-Apr-10,Fri",6.264," R 85,185 ",,6.530," R 3,019 "
"03-May-10,Mon",6.275," R 79,075 ",,6.500," R 3,418 "
"04-May-10,Tue",6.253," R 82,017 ",,6.490," R 3,543 "
"05-May-10,Wed",6.267," R 81,577 ",,6.585," R 4,136 "
"06-May-10,Thu",6.264," R 81,711 ",,6.596," R 3,818 "
"07-May-10,Fri",6.259," R 84,561 ",,6.622," R 4,288 "
"10-May-10,Mon",6.257," R 82,626 ",,6.550," R 2,058 "
"11-May-10,Tue",6.270," R 83,253 ",,6.650," R 1,934 "
"12-May-10,Wed",6.272," R 83,924 ",,6.650," R 4,732 "
"13-May-10,Thu",6.264," R 80,262 ",,6.650," R 1,855 "
"14-May-10,Fri",6.255," R 91,261 ",,6.600," R 1,642 "
"17-May-10,Mon",6.238," R 86,696 ",,6.565," R 2,548 "
"18-May-10,Tue",6.262," R 84,877 ",,6.516," R 5,140 "
"19-May-10,Wed",6.268," R 82,253 ",,6.486," R 2,841 "
"20-May-10,Thu",6.278," R 85,518 ",,6.542," R 3,881 "
"21-May-10,Fri",6.276," R 82,089 ",,6.490," R 5,153 "
"24-May-10,Mon",6.275," R 86,991 ",,6.443," R 5,417 "
"25-May-10,Tue",6.265," R 83,446 ",,6.471," R 3,603 "
"26-May-10,Wed",6.267," R 80,551 ",,6.453," R 2,721 "
"27-May-10,Thu",6.273," R 80,153 ",,6.539," R 4,326 "
"28-May-10,Fri",6.268," R 80,061 ",,6.472," R 2,946 "
"31-May-10,Mon",6.267," R 77,801 ",,,
"01-Jun-10,Tue",6.266," R 78,465 ",,6.500," R 4,571 "
"02-Jun-10,Wed",6.254," R 76,402 ",,6.420," R 2,029 "
"03-Jun-10,Thu",6.265," R 77,336 ",,6.430," R 2,020 "
"04-Jun-10,Fri",6.270," R 82,866 ",,6.445," R 2,831 "
