SDDS data category and component,Unitdescription,Date of latest,Latest data,Previous period,% change over same period of previous year,Agency,heading
Total exports (nsa),R Million,Aug/17,103377,93093,,SARS,Merchandise Trade (nsa)  (13)
Total imports (nsa),R Million,Aug/17,97436,83762,,SARS,Merchandise Trade (nsa)  (13)
