SDDS data category and component,Unitdescription,Date of latest,Latest data,Previous period,% change over same period of previous year,Agency,heading
Monthly exchange rate of the rand against the US dollar,Rand per US,Sep/17,13.1345,13.2309,,SARB,Exchange rates
Nominal effective exchange rate  (11),2010 = 100,Sep/17,61.53,61.53,,SARB,Exchange rates
